         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 base.py:541(to_numpy)
        6    0.000    0.000    0.000    0.000 cast.py:1157(maybe_infer_to_datetimelike)
      194    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        1    0.000    0.000    0.000    0.000 {method '_get_random_seed' of '_catboost._CatBoost' objects}
        3    0.000    0.000    0.001    0.000 concat.py:622(get_result)
        1    0.000    0.000    0.001    0.001 utils.py:197(classification_data)
       54    0.000    0.000    0.000    0.000 _internal.py:267(data_as)
       48    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.000    0.000 callback.py:103(_allreduce_metric)
       12    0.000    0.000    0.000    0.000 base.py:649(_simple_new)
       84    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       30    0.000    0.000    0.001    0.000 frame.py:1496(items)
       36    0.000    0.000    0.000    0.000 multiclass.py:21(_unique_multiclass)
       25    0.000    0.000    0.000    0.000 base.py:3777(get_loc)
       53    0.000    0.000    0.000    0.000 construction.py:696(_sanitize_ndim)
      354    0.000    0.000    0.000    0.000 __init__.py:508(_parse_local_version)
        2    0.000    0.000    0.000    0.000 ctypeslib.py:351(_ctype_ndarray)
       53    0.000    0.000    0.000    0.000 base.py:7688(maybe_extract_name)
       14    0.000    0.000    0.000    0.000 blocks.py:790(copy)
       91    0.000    0.000    0.000    0.000 flags.py:51(__init__)
       50    0.000    0.000    0.000    0.000 common.py:1571(validate_all_hashable)
       18    0.000    0.000    0.001    0.000 _label.py:118(transform)
       52    0.000    0.000    0.000    0.000 common.py:1375(_is_dtype)
        3    0.000    0.000    0.000    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        7    0.000    0.000    0.000    0.000 core.py:162(pop)
       43    0.000    0.000    0.000    0.000 common.py:1163(is_float_dtype)
        9    0.000    0.000    0.000    0.000 shape_base.py:292(hstack)
       18    0.000    0.000    0.000    0.000 _encode.py:194(_encode)
        1    0.000    0.000    0.001    0.001 core.py:2240(_prepare_train_params)
       20    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        3    0.000    0.000    0.000    0.000 concat.py:405(__init__)
       56    0.000    0.000    0.000    0.000 config.py:676(_translate_key)
       27    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       47    0.000    0.000    0.000    0.000 managers.py:236(set_axis)
        1    0.000    0.000    0.185    0.185 models.py:137(train)
       21    0.000    0.000    0.000    0.000 _array_api.py:116(_union1d)
        3    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
       30    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
       18    0.000    0.000    0.000    0.000 validation.py:1510(_is_fitted)
       12    0.000    0.000    0.000    0.000 numeric.py:274(full)
        5    0.000    0.000    0.000    0.000 basic.py:576(get)
        3    0.000    0.000    0.001    0.000 basic.py:1058(predict)
       16    0.000    0.000    0.000    0.000 core.py:1220(num_col)
       51    0.000    0.000    0.000    0.000 core.py:1318(<genexpr>)
       46    0.000    0.000    0.000    0.000 series.py:734(name)
      154    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        6    0.000    0.000    0.000    0.000 core.py:481(_prediction_output)
       22    0.000    0.000    0.004    0.000 basic.py:4127(eval_valid)
       84    0.000    0.000    0.000    0.000 callback.py:241(<genexpr>)
      113    0.000    0.000    0.000    0.000 inspect.py:3062(<genexpr>)
       25    0.000    0.000    0.000    0.000 frame.py:678(_constructor_sliced_from_mgr)
        3    0.000    0.000    0.001    0.000 concat.py:157(concat)
       35    0.000    0.000    0.000    0.000 generic.py:339(_from_mgr)
        9    0.000    0.000    0.003    0.000 _classification.py:1530(_check_set_wise_labels)
       27    0.000    0.000    0.000    0.000 basic.py:748(_is_allowed_numpy_dtype)
      117    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       95    0.000    0.000    0.000    0.000 common.py:1399(_get_dtype)
        1    0.000    0.000    0.202    0.202 {built-in method builtins.exec}
       17    0.000    0.000    0.000    0.000 base.py:82(shape)
       41    0.000    0.000    0.000    0.000 base.py:549(find)
       45    0.000    0.000    0.000    0.000 validation.py:296(_is_arraylike_not_scalar)
      218    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       12    0.000    0.000    0.000    0.000 {method 'argmax' of 'numpy.ndarray' objects}
      171    0.000    0.000    0.000    0.000 _param_validation.py:259(__init__)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       42    0.000    0.000    0.000    0.000 callback.py:179(before_iteration)
      100    0.000    0.000    0.000    0.000 common.py:1590(<genexpr>)
       53    0.000    0.000    0.000    0.000 construction.py:416(extract_array)
      225    0.000    0.000    0.000    0.000 validation.py:665(_check_estimator_name)
       68    0.000    0.000    0.000    0.000 basic.py:585(get_sorted)
        3    0.000    0.000    0.000    0.000 managers.py:1796(concat_horizontal)
        6    0.000    0.000    0.000    0.000 basic.py:506(_param_dict_to_str)
      126    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
       13    0.000    0.000    0.000    0.000 data.py:171(_ensure_np_dtype)
       58    0.000    0.000    0.000    0.000 generic.py:667(_info_axis)
       47    0.000    0.000    0.000    0.000 base.py:86(_validate_set_axis)
        1    0.000    0.000    0.000    0.000 core.py:1695(__init__)
       84    0.000    0.000    0.000    0.000 callback.py:187(<genexpr>)
       26    0.000    0.000    0.000    0.000 api.py:386(default_index)
       53    0.000    0.000    0.000    0.000 construction.py:735(_sanitize_str_dtypes)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        2    0.000    0.000    0.000    0.000 basic.py:3004(get_feature_name)
        3    0.000    0.000    0.000    0.000 cast.py:1433(find_common_type)
        2    0.000    0.000    0.000    0.000 basic.py:2603(set_field)
       24    0.000    0.000    0.000    0.000 numeric.py:1855(isscalar)
      3/2    0.000    0.000    0.003    0.001 basic.py:2403(construct)
       99    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        7    0.000    0.000    0.000    0.000 basic.py:756(_check_for_bad_pandas_dtypes)
       20    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:2979(prod)
      300    0.000    0.000    0.000    0.000 inspect.py:2794(kind)
       54    0.000    0.000    0.002    0.000 multiclass.py:80(<genexpr>)
       84    0.000    0.000    0.000    0.000 validation.py:2164(_is_pandas_df)
       12    0.000    0.000    0.000    0.000 managers.py:2095(create_block_manager_from_blocks)
       15    0.000    0.000    0.000    0.000 core.py:340(_numpy2ctypes_type)
        5    0.000    0.000    0.000    0.000 core.py:922(_check_data_empty)
       14    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
      153    0.000    0.000    0.000    0.000 base.py:5144(_values)
       81    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      172    0.000    0.000    0.000    0.000 core.py:1319(<genexpr>)
       22    0.000    0.000    0.004    0.000 basic.py:4093(eval_train)
       42    0.000    0.000    0.000    0.000 _param_validation.py:291(__init__)
       65    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
      195    0.000    0.000    0.000    0.000 arraysetops.py:133(_unique_dispatcher)
        4    0.000    0.000    0.000    0.000 core.py:908(__del__)
        9    0.000    0.000    0.000    0.000 _encode.py:51(_unique_np)
       24    0.000    0.000    0.000    0.000 _config.py:211(config_context)
        8    0.000    0.000    0.000    0.000 core.py:913(set_info)
       25    0.000    0.000    0.000    0.000 series.py:1471(_set_as_cached)
        3    0.000    0.000    0.001    0.000 core.py:2572(_process_predict_input_data)
        6    0.000    0.000    0.000    0.000 base.py:3238(union)
        5    0.000    0.000    0.000    0.000 generic.py:6662(copy)
       75    0.000    0.000    0.000    0.000 series.py:707(dtype)
       80    0.000    0.000    0.000    0.000 callback.py:360(get_s)
        3    0.000    0.000    0.000    0.000 base.py:5455(append)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       18    0.000    0.000    0.000    0.000 validation.py:1548(check_is_fitted)
        4    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       12    0.000    0.000    0.000    0.000 _param_validation.py:584(__init__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       14    0.000    0.000    0.001    0.000 inspect.py:3067(from_callable)
